Solving Medium problem: Target: 1132, Coins: [23, 3, 7, 23]
Satisfiable: [47, 17, 0, 0] solves the target of 1132
Solving Medium problem: Target: 4077, Coins: [16, 23, 23, 1]
Satisfiable: [239, 11, 0, 0] solves the target of 4077
Solving Medium problem: Target: 9302, Coins: [23, 6, 15, 20]
Satisfiable: [400, 17, 0, 0] solves the target of 9302
Solving Medium problem: Target: 1401, Coins: [22, 19, 16, 2]
Satisfiable: [49, 17, 0, 0] solves the target of 1401
Solving Medium problem: Target: 6032, Coins: [3, 14, 19, 14]
Satisfiable: [2006, 1, 0, 0] solves the target of 6032
Solving Medium problem: Target: 3409, Coins: [18, 18, 17, 2]
Satisfiable: [179, 0, 11, 0] solves the target of 3409
Solving Medium problem: Target: 5879, Coins: [24, 8, 16, 7]
Satisfiable: [244, 2, 0, 1] solves the target of 5879
Solving Medium problem: Target: 9560, Coins: [4, 14, 18, 14]
Satisfiable: [2390, 0, 0, 0] solves the target of 9560
Solving Medium problem: Target: 1144, Coins: [11, 19, 25, 13]
Satisfiable: [104, 0, 0, 0] solves the target of 1144
Solving Medium problem: Target: 8322, Coins: [12, 24, 24, 5]
Unsatisfiable: No combination of coins can solve the target of 8322
Solving Medium problem: Target: 6961, Coins: [18, 17, 6, 6]
Satisfiable: [382, 5, 0, 0] solves the target of 6961
Solving Medium problem: Target: 8862, Coins: [13, 1, 6, 24]
Satisfiable: [681, 9, 0, 0] solves the target of 8862
Solving Medium problem: Target: 3186, Coins: [18, 20, 4, 15]
Satisfiable: [177, 0, 0, 0] solves the target of 3186
Solving Medium problem: Target: 1882, Coins: [2, 9, 15, 16]
Satisfiable: [941, 0, 0, 0] solves the target of 1882
Solving Medium problem: Target: 6197, Coins: [8, 9, 19, 1]
Satisfiable: [769, 5, 0, 0] solves the target of 6197
Solving Medium problem: Target: 8081, Coins: [6, 14, 1, 4]
Satisfiable: [1342, 2, 1, 0] solves the target of 8081
Solving Medium problem: Target: 5322, Coins: [10, 16, 24, 3]
Satisfiable: [529, 2, 0, 0] solves the target of 5322
Solving Medium problem: Target: 3743, Coins: [21, 11, 5, 8]
Satisfiable: [173, 10, 0, 0] solves the target of 3743
Solving Medium problem: Target: 8281, Coins: [19, 2, 2, 3]
Satisfiable: [435, 8, 0, 0] solves the target of 8281
Solving Medium problem: Target: 6629, Coins: [11, 8, 21, 15]
Satisfiable: [599, 5, 0, 0] solves the target of 6629
